id,date,content,username,likecount,retweetcount,replycount,typeofphone,languge
1602647016953233412,2022-12-13 12:49:59+00:00,"Les guinéens svp hein c’est entre nous, Dadis a vraiment diriger votre pays ? 😂 #ProcesDu28Sept",ABDOUBOUKARIAm4,3,0,2,Twitter for iPhone,fr
1602646099315015685,2022-12-13 12:46:20+00:00,"Dadis est face aux plus gentils de la barre et il se chauffe, au point où ses conseillers interviennent. 

Le duel face à Me Sylla et tafory gnogué sera très tendu 😬 

#ProcesDu28Sept",PtyKeita,4,0,0,Twitter for iPhone,fr
1602645841801617408,2022-12-13 12:45:19+00:00,"Moussa Dadis Camara a une attitude plus que désolante, heureusement qu’il fait face à des magistrats, à la justice et à toutes ses procédures. L’arrogance et la pétulance de l’homme le trahiront sans aucun doute. 

#ProcesDu28Sept",Roskov_,3,1,1,Twitter for iPhone,fr
1602644824062148609,2022-12-13 12:41:16+00:00,"Dadis est cuit !
Complètement cuit !
#ProcesDu28Sept",MrPersonne94,2,1,0,Twitter for Android,fr
1602642570085007366,2022-12-13 12:32:19+00:00,"L'interrogatoire de Dadis prouve à suffisance que rien n'était structuré pour mener à bien la destinée du pays. Chacun faisait ce qu'il voulait et lui, il le cautionnait avec ses shows. 
#ProcesDu28Sept",Imblackman95,2,0,1,Twitter for Android,fr
1602642231952801794,2022-12-13 12:30:58+00:00,"#CNND cette bande des putschs nous a blaqué 
#ProcesDu28Sept",Marwane7M,0,0,0,Twitter for Android,fr
1602641296274984965,2022-12-13 12:27:15+00:00,"dadis qui appelle le procureur monsieur le president, il est perturbé par les questions de ce dernier #ProcesDu28Sept",alsenyd12,0,0,0,Twitter Web App,fr
1602640165205381120,2022-12-13 12:22:45+00:00,"Le sal menteur 😤😤😤😤😤😤 !
#ProcesDu28Sept",MrPersonne94,1,0,0,Twitter for Android,fr
1602637304341962754,2022-12-13 12:11:23+00:00,Ko c'est sont ces veines qui coulent dans mon sang c'est depuis ça je dis Dadis n'est pas seul dans sa tête #ProcesDu28Sept,FodorLamar,3,0,0,Twitter for Android,fr
1602636655344615425,2022-12-13 12:08:48+00:00,"Seul DIEU a le dernier mot, quand vous jurez de s'allier pour faire du mal à quelqu'un et cela retournera toujours contre vous !
#ProcesDu28Sept",ABantignel,0,0,0,Twitter for Android,fr
1602630596735418373,2022-12-13 11:44:44+00:00,Les guinéens c’est Dieu qui vous a sauvé hein 😂 Donc Dadis a diriger ce pays ? J’arrive pas à croire 😂 #ProcesDu28Sept,ABDOUBOUKARIAm4,48,10,8,Twitter for iPhone,fr
1602630063953936385,2022-12-13 11:42:37+00:00,J’arrive juste pas à croire que le destin de toute une nation se trouvait entre les mains de ce dernier…🤦🏽‍♀️ #ProcesDu28Sept,DjebouXoxo,4,0,3,Twitter for iPhone,fr
1602629905564442625,2022-12-13 11:41:59+00:00,"@GMeurtri J'arrive toujours pas à discerné la différence entre le commandant tant chefs des forces armées et le commandant du régiment.
Selon vous quel est le poste le plus élevé ?
#ProcesDu28Sept 🇬🇳",Alhassa61998436,1,0,1,Twitter for Android,fr
